Unnamed: 0,result,table,_time,_start,_stop,_measurement,dest_ip,protocol,source_ip,dns_rate,inter_arrival_time,label,request_rate,anomaly,reconstruction_error
79,_result,0,2025-06-04 01:01:26.720063+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.003288,1,304.1362530413625,1,0.36024831044004224
80,_result,0,2025-06-04 01:01:29.144438+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,2.424375,0,0.41247744263985564,0,0.0007024688759772071
81,_result,0,2025-06-04 01:01:29.149426+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.004988,1,200.4811547714515,1,0.15199423743774174
82,_result,0,2025-06-04 01:01:38.377436+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,9.22801,0,0.108365725654827,0,0.0006379143299365075
83,_result,0,2025-06-04 01:01:38.385189+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.007753,1,128.98232942086935,0,0.0575170721904232
84,_result,0,2025-06-04 01:01:46.893038+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,8.507849,0,0.11753852236916758,0,0.0008234215290043928
85,_result,0,2025-06-04 01:01:46.918316+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.025278,0,39.56009177941293,0,0.003656574675692121
86,_result,0,2025-06-04 01:01:54.398769+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,7.480453,0,0.1336817436056346,0,0.001065207900835435
87,_result,0,2025-06-04 01:01:56.763366+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,2.364597,0,0.4229050447074068,0,0.0007067533585302871
88,_result,0,2025-06-04 01:01:56.812228+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.048862,0,20.46580164545045,0,0.0009115539176930963
89,_result,0,2025-06-04 01:01:57.007733+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,3,0.195505,0,5.114958696708523,0,0.0008833355680362689
90,_result,0,2025-06-04 01:01:57.820181+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,4,0.812448,0,1.2308480050415536,0,0.0009651572902565868
91,_result,0,2025-06-04 01:01:57.870453+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,5,0.050272,0,19.891788669637176,0,0.0008764638463547901
